t,ax,ay,az,dt,vx,vy,vz,x,y,z
2.001,-39.94067,-13.16293,-6.291077,0.09899999999999998,-122.18198749999999,-58.598778370000005,9.136186786999996,-126.64188395523998,-71.34800358257999,7.251757443892998
2.101,-13.59544,17.25381,-6.051575,0.10000000000000009,-123.54153149999999,-56.873397370000006,8.531029286999996,-138.99603710524,-77.03534331958,8.104860372592999
2.202,-5.452377,-13.88144,-24.01422,0.10099999999999998,-124.09222157699999,-58.27542281000001,6.105593066999996,-151.52935148451698,-82.92116102339,8.721525272359997
2.302,-49.28124,-7.175385,4.247009,0.10000000000000009,-129.020345577,-58.99296131000001,6.530293966999996,-164.43138604221699,-88.82045715439,9.374554669059998
2.402,0.774673,-9.0914,53.10541,0.10000000000000009,-128.942878277,-59.90210131000001,11.840834967000001,-177.325673869917,-94.81066728539001,10.55863816576
2.502,30.95192,17.01431,8.558044,0.09999999999999964,-125.84768627700002,-58.20067031000002,12.696639366999998,-189.91044249761697,-100.63073431638999,11.828302102459995
2.602,-76.10546,-19.38998,35.38226,0.10000000000000009,-133.45823227700004,-60.139668310000026,16.234865367,-203.25626572531698,-106.64470114739,13.451788639159997
2.702,-69.63891,-3.343353,46.87836,0.10000000000000009,-140.42212327700005,-60.474003610000025,20.922701367000005,-217.298478053017,-112.69210150839001,15.544058775859998
2.802,-20.062,-58.42882,58.85345,0.10000000000000009,-142.42832327700006,-66.31688561000003,26.80804636700001,-231.54131038071702,-119.32379006939001,18.22486341256
2.902,35.50246,-113.2748,-24.49323,0.10000000000000009,-138.87807727700005,-77.64436561000004,24.358723367000007,-245.42911810841704,-127.08822663039003,20.660735749260006
3.002,172.9766,-129.8004,-56.10748,0.09999999999999964,-121.58041727700011,-90.62440561,18.747975367000027,-257.587159836117,-136.15066719139,22.535533285960003
3.102,334.6404,5.278717,-157.8958,0.10000000000000009,-88.11637727700008,-90.09653390999999,2.958395367000012,-266.398797563817,-145.16032058239,22.831372822660004
3.202,498.2203,178.6781,-137.2986,0.10000000000000009,-38.294347277000035,-72.22872390999997,-10.771464632999999,-270.22823229151703,-152.38319297339,21.754226359360004
3.302,276.4414,184.6657,-49.64093,0.10000000000000009,-10.65020727700001,-53.76215390999995,-15.735557633000003,-271.29325301921705,-157.75940836439,20.180670596060004
3.402,21.13234,661.0351,105.7958,0.10000000000000009,-8.536973277000008,12.341356090000119,-5.155977632999994,-272.14695034691704,-156.52527275538998,19.665072832760004
3.502,-44.4912,647.144,137.1707,0.09999999999999964,-12.986093276999991,77.05575608999989,8.561092366999958,-273.445559674617,-148.81969714639,20.521182069459996
3.602,381.8223,533.3806,-76.46515,0.10000000000000009,25.19613672300004,130.39381608999992,0.9145773669999517,-270.925946002317,-135.78031553739,20.61263980615999
3.702,484.0897,546.0742,-122.9285,0.10000000000000009,73.60510672300008,185.00123608999996,-11.378272633000059,-263.565435330017,-117.28019192839,19.474812542859983
3.802,100.168,553.4987,-98.25983,0.10000000000000009,83.62190672300008,240.35110609,-21.204255633000066,-255.203244657717,-93.24508131938998,17.354386979559976
3.902,271.6514,468.9545,-194.3001,0.10000000000000009,110.7870467230001,287.24655609,-40.63426563300008,-244.12453998541696,-64.52042571038996,13.290960416259963
4.002,25.44337,566.4318,-80.05768,0.09999999999999964,113.33138372300009,343.8897360899998,-48.64003363300006,-232.791401613117,-30.131452101390096,8.426957052959974
4.102,-336.2046,616.9667,81.36664,0.10000000000000053,79.71092372299991,405.58640609000014,-40.50336963300001,-224.82030924081695,10.427188507610133,4.376620089659951
4.202,-190.5874,323.5768,43.04633,0.09999999999999964,60.65218372299998,437.94408609000004,-36.198736633000024,-218.755090868517,54.221597116609985,0.7567464263599617
4.302,-109.3962,223.944,-87.72174,0.09999999999999964,49.71256372300002,460.33848608999995,-44.97091063299999,-213.783834496217,100.25544572560982,-3.7403446369400215
4.402,182.0777,-89.08507,-146.1602,0.10000000000000053,67.92033372300011,451.4299790899999,-59.586930633000065,-206.99180112391696,145.39844363461003,-9.69903770024006
4.502,-315.8469,194.9643,42.08832,0.09999999999999964,36.335643723000224,470.9264090899998,-55.37809863300008,-203.35823675161694,192.49108454360984,-15.23684756354005
4.602,-707.6722,-190.8734,79.21112,0.10000000000000053,-34.431576277000154,451.8390690899997,-47.456986633000035,-206.80139437931697,237.67499145261007,-19.98254622684008
4.702,254.6468,-203.088,-154.3033,0.09999999999999964,-8.966896277000242,431.5302690899998,-62.88731663299998,-207.698084007017,280.8280183616099,-26.271277890140055
4.802,349.0106,3.602203,-109.7559,0.09999999999999964,25.93416372299964,431.8904893899998,-73.86290663299994,-205.10466763471706,324.0170673006097,-33.65756855344002
4.902,635.6944,-228.2357,-278.3653,0.10000000000000053,89.50360372299997,409.06691938999967,-101.69943663300009,-196.154307262417,364.9237592396099,-43.82751221674009
5.002,188.0652,-153.7506,-75.98615,0.09999999999999964,108.3101237229999,393.6918593899997,-109.29805163300006,-185.32329489011704,404.2929451786098,-54.75731738004006
5.103,156.451,-95.31212,-124.3655,0.10099999999999998,124.11167472299991,384.0653352699997,-121.85896713300005,-172.78801574309406,443.08354404087976,-67.06507306047305
5.203,429.0042,-21.785,-237.171,0.10000000000000053,167.01209472300013,381.8868352699997,-145.57606713300018,-156.08680627079397,481.27222756787995,-81.62267977377314
