device,kernel
"{'time': 1244.232, 's2': {'ax': 8.576031, 'ay': -1.419762, 'wz': -0.03224196, 'az': -0.6344634, 'wx': -0.005995406, 'wy': -0.0007993876}, 's3': {'ax': 9.109938, 'ay': -1.419762, 'wz': -0.03210873, 'az': -0.6584055, 'wx': -0.01718683, 'wy': -0.008660031}, 's1': {'ax': 20228, 'ay': 20308, 'wz': 20420, 'az': 20260, 'wx': 20468, 'wy': 20228}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.232, 's2': {'ax': 8.576031, 'ay': -1.419762, 'wz': -0.03224196, 'az': -0.6344634, 'wx': -0.005995406, 'wy': -0.0007993876}, 's3': {'ax': 9.109938, 'ay': -1.419762, 'wz': -0.03210873, 'az': -0.6584055, 'wx': -0.01718683, 'wy': -0.008660031}, 's1': {'ax': 20228, 'ay': 20308, 'wz': 20420, 'az': 20260, 'wx': 20468, 'wy': 20228}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.292, 's2': {'ax': 9.095572, 'ay': -1.278504, 'wz': -0.0001332312, 'az': -0.3854665, 'wx': -0.004796324, 'wy': 0.04130168}, 's3': {'ax': 8.559271, 'ay': -1.249773, 'wz': -0.0001332312, 'az': -0.4165911, 'wx': -0.03530628, 'wy': 0.04143492}, 's1': {'ax': 24229, 'ay': 24309, 'wz': 24229, 'az': 24197, 'wx': 24405, 'wy': 24437}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.312, 's2': {'ax': 8.576031, 'ay': -1.381454, 'wz': -0.0009326189, 'az': -0.6560113, 'wx': -0.01931853, 'wy': 0.05742266}, 's3': {'ax': 8.578424, 'ay': -1.391031, 'wz': -0.001199081, 'az': -0.6153098, 'wx': -0.01945176, 'wy': 0.05808882}, 's1': {'ax': 24197, 'ay': 24053, 'wz': 24197, 'az': 24085, 'wx': 24309, 'wy': 24101}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.332, 's2': {'ax': 9.066842, 'ay': -1.264138, 'wz': -0.02611332, 'az': -0.617704, 'wx': 0.09259571, 'wy': -0.02491424}, 's3': {'ax': 9.076419, 'ay': -1.261744, 'wz': -0.02797856, 'az': -0.6584055, 'wx': 0.09339511, 'wy': -0.02251608}, 's1': {'ax': 20452, 'ay': 20148, 'wz': 20148, 'az': 20244, 'wx': 20404, 'wy': 20372}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.352, 's2': {'ax': 8.568848, 'ay': -1.237802, 'wz': -0.03424043, 'az': -0.08858546, 'wx': 0.07554212, 'wy': -0.002531394}, 's3': {'ax': 8.549694, 'ay': -1.237802, 'wz': -0.0001332312, 'az': -0.09337386, 'wx': 0.07580858, 'wy': -0.0007993876}, 's1': {'ax': 19428, 'ay': 19764, 'wz': 19828, 'az': 19700, 'wx': 19748, 'wy': 19716}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.372, 's2': {'ax': 9.148245, 'ay': -1.276109, 'wz': -0.0002664625, 'az': -0.2178724, 'wx': -0.04276723, 'wy': 0.06701532}, 's3': {'ax': 9.188946, 'ay': -1.240196, 'wz': -0.0001332312, 'az': -0.308852, 'wx': -0.04409954, 'wy': 0.03783768}, 's1': {'ax': 20949, 'ay': 20933, 'wz': 21093, 'az': 20949, 'wx': 21029, 'wy': 21173}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.372, 's2': {'ax': 9.148245, 'ay': -1.276109, 'wz': -0.0002664625, 'az': -0.2178724, 'wx': -0.04276723, 'wy': 0.06701532}, 's3': {'ax': 9.188946, 'ay': -1.240196, 'wz': -0.0001332312, 'az': -0.308852, 'wx': -0.04409954, 'wy': 0.03783768}, 's1': {'ax': 20949, 'ay': 20933, 'wz': 21093, 'az': 20949, 'wx': 21029, 'wy': 21173}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.392, 's2': {'ax': 9.172187, 'ay': -1.381454, 'wz': -0.0006661562, 'az': -0.6153098, 'wx': -0.04396631, 'wy': 0.04516539}, 's3': {'ax': 9.260772, 'ay': -1.42455, 'wz': -0.004396631, 'az': -0.4836287, 'wx': -0.03970291, 'wy': 0.06808116}, 's1': {'ax': 24277, 'ay': 24229, 'wz': 24341, 'az': 24325, 'wx': 24485, 'wy': 24293}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.412, 's2': {'ax': 9.186552, 'ay': -1.266533, 'wz': -0.01398928, 'az': -0.545878, 'wx': -0.0001332312, 'wy': -0.0005329249}, 's3': {'ax': 9.181764, 'ay': -1.240196, 'wz': -0.01172435, 'az': -0.4764462, 'wx': -0.0003996938, 'wy': -0.001732006}, 's1': {'ax': 24325, 'ay': 24037, 'wz': 24181, 'az': 24213, 'wx': 24245, 'wy': 24325}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
