device,kernel
"{'time': 169.657, 's2': {'ax': -7.13951, 'ay': -2.458845, 'wz': -0.009059724, 'az': 5.643134, 'wx': 0.1005896, 'wy': 0.1362956}, 's3': {'ax': -6.904878, 'ay': -2.463634, 'wz': -0.0003996938, 'az': 5.896919, 'wx': 0.06328485, 'wy': 0.1277688}, 's1': {'ax': 18452, 'ay': 18036, 'wz': 18900, 'az': 17684, 'wx': 19700, 'wy': 19364}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.657, 's2': {'ax': -7.13951, 'ay': -2.458845, 'wz': -0.009059724, 'az': 5.643134, 'wx': 0.1005896, 'wy': 0.1362956}, 's3': {'ax': -6.904878, 'ay': -2.463634, 'wz': -0.0003996938, 'az': 5.896919, 'wx': 0.06328485, 'wy': 0.1277688}, 's1': {'ax': 18452, 'ay': 18036, 'wz': 18900, 'az': 17684, 'wx': 19700, 'wy': 19364}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.697, 's2': {'ax': -7.175423, 'ay': -3.684676, 'wz': -0.002797856, 'az': 6.107608, 'wx': -0.002264931, 'wy': 0.09312863}, 's3': {'ax': -7.132327, 'ay': -3.950433, 'wz': -0.0002664625, 'az': 6.088455, 'wx': -0.0001332312, 'wy': 0.09366156}, 's1': {'ax': 18340, 'ay': 17972, 'wz': 18788, 'az': 17812, 'wx': 19876, 'wy': 19300}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.697, 's2': {'ax': -7.175423, 'ay': -3.684676, 'wz': -0.002797856, 'az': 6.107608, 'wx': -0.002264931, 'wy': 0.09312863}, 's3': {'ax': -7.132327, 'ay': -3.950433, 'wz': -0.0002664625, 'az': 6.088455, 'wx': -0.0001332312, 'wy': 0.09366156}, 's1': {'ax': 18340, 'ay': 17972, 'wz': 18788, 'az': 17812, 'wx': 19876, 'wy': 19300}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.717, 's2': {'ax': -4.905719, 'ay': -3.833117, 'wz': -0.004663095, 'az': 5.298368, 'wx': -0.0009326189, 'wy': 0.1016554}, 's3': {'ax': -4.944026, 'ay': -3.689465, 'wz': -0.00652833, 'az': 9.804255, 'wx': -0.0001332312, 'wy': 0.09725882}, 's1': {'ax': 18436, 'ay': 18020, 'wz': 18900, 'az': 17668, 'wx': 19732, 'wy': 19412}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.737, 's2': {'ax': -7.21373, 'ay': -3.701436, 'wz': 0.1346968, 'az': 4.900931, 'wx': 0.2386172, 'wy': 0.2061087}, 's3': {'ax': -7.204153, 'ay': -3.742137, 'wz': 0.1362956, 'az': 4.848258, 'wx': 0.2384839, 'wy': 0.225827}, 's1': {'ax': 18548, 'ay': 18100, 'wz': 18740, 'az': 17732, 'wx': 19764, 'wy': 19204}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.757, 's2': {'ax': -7.376535, 'ay': -3.833117, 'wz': -0.0695467, 'az': 6.58166, 'wx': -0.0003996938, 'wy': 0.1320322}, 's3': {'ax': -7.515399, 'ay': -3.916914, 'wz': -0.06834763, 'az': 6.720524, 'wx': -0.01718683, 'wy': 0.06381777}, 's1': {'ax': 18388, 'ay': 17988, 'wz': 18852, 'az': 17620, 'wx': 19668, 'wy': 19348}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.797, 's2': {'ax': -7.510611, 'ay': -3.967192, 'wz': -0.2729908, 'az': 5.81791, 'wx': -0.009992343, 'wy': -0.3134931}, 's3': {'ax': -7.529764, 'ay': -3.91452, 'wz': -0.2796524, 'az': 6.124368, 'wx': -0.03424043, 'wy': -0.3273492}, 's1': {'ax': 18324, 'ay': 17940, 'wz': 18756, 'az': 17844, 'wx': 19844, 'wy': 19252}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.797, 's2': {'ax': -7.510611, 'ay': -3.967192, 'wz': -0.2729908, 'az': 5.81791, 'wx': -0.009992343, 'wy': -0.3134931}, 's3': {'ax': -7.529764, 'ay': -3.91452, 'wz': -0.2796524, 'az': 6.124368, 'wx': -0.03424043, 'wy': -0.3273492}, 's1': {'ax': 18324, 'ay': 17940, 'wz': 18756, 'az': 17844, 'wx': 19844, 'wy': 19252}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.817, 's2': {'ax': -7.395689, 'ay': -4.383783, 'wz': -0.4830965, 'az': 6.110003, 'wx': -0.360657, 'wy': -0.3722481}, 's3': {'ax': -7.395689, 'ay': -4.383783, 'wz': -0.4781669, 'az': 6.110003, 'wx': -0.3702496, 'wy': -0.3671853}, 's1': {'ax': 18356, 'ay': 17972, 'wz': 18804, 'az': 17636, 'wx': 19892, 'wy': 19300}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
