t,ax,ay,az,wx,wy,wz,dt,vx,vy,vz,x,y,z
2.6,-1.037343,0.989442,0.651745,8196,15880,-8396,0.0900000000000003,-1.5811543700000001,0.23256154600000195,-0.8593218959999979,-1.9737189581429997,-0.7636681788299986,-0.8568002511729985
2.69,-2.131567,2.434837,0.879272,7936,13664,-5484,0.08999999999999986,-1.7729953999999999,0.45169687600000163,-0.780187415999998,-2.1332885441429994,-0.7230154599899985,-0.9270171186129982
2.78,-0.838856,-0.465532,-1.032852,6484,13816,-3468,0.08999999999999986,-1.8484924399999998,0.4097989960000017,-0.8731440959999979,-2.299652863742999,-0.6861335503499985,-1.0056000872529978
2.872,-1.359174,0.12035,-0.385598,8456,15816,-3592,0.09200000000000008,-1.973536448,0.4208711960000017,-0.9086191119999979,-2.481218216958999,-0.6474134003179982,-1.0891930455569976
2.965,-0.427511,0.895737,0.048499,8256,13928,-3084,0.09299999999999997,-2.013294971,0.5041747370000017,-0.9041087049999978,-2.668454649261999,-0.6005251497769981,-1.1732751551219973
3.056,2.324067,1.214275,0.301174,8292,14804,-2936,0.09100000000000019,-1.8018048739999997,0.6146737620000019,-0.8767018709999977,-2.8324188927959995,-0.5445898374349978,-1.2530550253829973
3.147,0.250579,-0.289199,-2.537823,7464,13440,-3664,0.09099999999999975,-1.7790021849999997,0.588356653000002,-1.107643763999997,-2.994308091630999,-0.49104938201199777,-1.3538506079069967
3.239,1.485511,1.182541,-0.136816,6864,17804,-3740,0.09200000000000008,-1.6423351729999995,0.697150425000002,-1.120230835999997,-3.145402927546999,-0.4269115429119975,-1.4569118448189966
3.33,1.040337,-1.734593,-1.568439,7996,16912,-6176,0.09100000000000019,-1.5476645059999994,0.5393024620000016,-1.2629587849999973,-3.2862403975929992,-0.37783501886999726,-1.5718410942539967
3.422,-1.43312,0.488883,-0.773591,5120,10300,-4712,0.09200000000000008,-1.6795115459999994,0.5842796980000017,-1.3341291569999973,-3.440755459824999,-0.32408128665399705,-1.6945809766979965
3.514,-0.246388,0.804727,0.315544,7640,16548,-5612,0.09199999999999964,-1.7021792419999993,0.6583145820000014,-1.3050991089999975,-3.5973559500889984,-0.26351634510999716,-1.8146500947259958
3.605,-0.021555,0.519121,0.007784,6672,13328,-4884,0.09100000000000019,-1.7041407469999992,0.7055545930000015,-1.3043907649999975,-3.7524327580659986,-0.1993108771469969,-1.9333496543409958
3.697,0.63977,1.13015,0.543969,7448,15000,-5444,0.09200000000000008,-1.645281906999999,0.8095283930000016,-1.2543456169999974,-3.903798693509999,-0.1248342649909967,-2.0487494511049955
3.785,0.417632,0.459245,-0.55804,7896,13172,-5388,0.08800000000000008,-1.608530290999999,0.8499419530000016,-1.3034531369999973,-4.045349359117999,-0.050039373126996495,-2.1634533271609953
3.876,-0.467328,-0.068258,-1.730102,7612,13344,-5040,0.09099999999999975,-1.6510571389999988,0.8437304750000016,-1.4608924189999968,-4.195595558766999,0.02674010009800344,-2.2963945372899945
3.969,0.33171,-0.181123,-2.326761,5832,11208,-3932,0.09299999999999997,-1.620208108999999,0.8268860360000017,-1.6772811919999966,-4.346274912903999,0.10364050144600358,-2.4523816881459943
4.06,-0.593067,0.981359,-2.701283,5084,12268,-3068,0.09099999999999975,-1.6741772059999986,0.9161897050000014,-1.9230979449999959,-4.498625038649998,0.18701376460100347,-2.6273836011409935
4.152,2.084266,4.127517,0.917293,4300,21716,-10980,0.09200000000000053,-1.4824247339999976,1.2959212690000035,-1.8387069889999954,-4.635008114177999,0.3062385213490045,-2.796544644128994
4.244,-9.81,9.809701,8.048763,1868,32767,-32768,0.09199999999999964,-2.384944733999994,2.198413761,-1.0982207929999985,-4.854423029705997,0.5084925873610037,-2.8975809570849935
4.332,-9.81,9.809701,9.32441,-31548,-32768,9080,0.08800000000000008,-3.248224733999995,3.0616674490000007,-0.27767271299999774,-5.140266806297997,0.7779193228730039,-2.9220161558289934
4.421,-0.215252,-0.078736,-0.400866,-864,6392,15364,0.08900000000000041,-3.267382161999995,3.0546599450000005,-0.3133497869999979,-5.431063818715998,1.0497840579780053,-2.9499042868719934
