ax,ay,az,gx,gy,gz,time
-0.071289,-0.075195,-1.020508,-5.126953,2.563477,-0.793457,1.064441
-0.069824,-0.068359,-1.024414,-4.699707,1.403809,-0.183105,1.077792
-0.071777,-0.066406,-1.02002,-4.699707,1.159668,0.061035,1.080924
-0.083008,-0.073242,-1.036621,-4.089355,1.159668,-0.183105,1.094248
-0.080566,-0.076172,-1.03418,-4.089355,1.220703,-0.183105,1.097395
-0.083496,-0.077637,-1.021484,-3.601074,0.976563,-0.549316,1.110736
-0.076172,-0.075684,-1.031738,-3.845215,1.220703,-0.427246,1.124041
-0.080078,-0.071777,-1.029297,-3.601074,1.159668,-0.488281,1.127179
-0.07373,-0.074219,-1.036621,-3.723145,1.220703,-0.061035,1.140516
-0.075195,-0.066406,-1.027344,-3.601074,1.098633,0.244141,1.143646
-0.082031,-0.066406,-1.02832,-3.295898,0.732422,0.488281,1.156936
-0.088867,-0.0625,-1.031738,-3.234863,0.244141,0.732422,1.170253
-0.088867,-0.063965,-1.032715,-3.417969,0.549316,0.854492,1.173374
-0.097656,-0.069336,-1.03125,-3.78418,0.061035,0.183105,1.18669
-0.095703,-0.066895,-1.036621,-3.78418,0.244141,0.366211,1.189804
-0.106445,-0.068359,-1.038086,-4.455566,0.671387,0.12207,1.203134
-0.105469,-0.070801,-1.043945,-4.577637,0.366211,-1.037598,1.216497
-0.10498,-0.066895,-1.057129,-4.089355,0.610352,-1.586914,1.219629
-0.09375,-0.063965,-1.049805,-2.929688,0.671387,-2.380371,1.23298
-0.087891,-0.064453,-1.039551,-2.685547,0.549316,-2.197266,1.23612
-0.066895,-0.067871,-1.033691,-2.319336,-0.244141,-1.525879,1.249503
-0.068359,-0.070801,-1.033203,-2.868652,-0.12207,-0.427246,1.262872
-0.068359,-0.077148,-1.019043,-2.990723,0.0,-0.061035,1.26602
-0.07373,-0.078125,-1.024414,-4.699707,-0.610352,0.793457,1.279392
-0.07373,-0.077637,-1.021484,-5.371094,-0.854492,0.549316,1.282536
-0.091309,-0.080566,-1.031738,-5.67627,-1.586914,0.610352,1.29589
