time,data,butter,laplace,gaussian,target
21.09,3431.0,3989.0642875599265,4013.9840140790357,3931.0397241520814,3985.7538038710536
21.119999999999997,3431.0,3989.0198216944705,4008.510097623182,3929.6926158467495,3985.03612870257
21.15,4029.0,3988.9964925606005,4001.5276412020585,3929.0549645711135,3984.255454625798
21.18,4029.0,3988.993957846691,3994.728121084218,3929.1297984160374,3983.5809582273787
21.21,4029.0,3989.0117321177304,3988.867752552944,3929.903010937887,3983.0864620432676
21.24,4009.0,3989.0493312745157,3983.8446252084295,3931.344761295546,3982.7584036700105
21.27,4009.0,3989.1063040831377,3979.5393368646733,3933.4110485674373,3982.5800818097214
21.3,3987.0,3989.182223490662,3975.8399324005904,3936.045975926002,3982.5343696251894
21.33,3987.0,3989.2766763385043,3972.641618225611,3939.184048520413,3982.603907745406
21.36,3987.0,3989.389254031744,3969.876296914713,3942.7531747053554,3982.7743503874017
21.39,3813.0,3989.519536491303,3967.2925363276677,3946.6769124455614,3983.012574070365
21.419999999999998,3813.0,3989.6670483177427,3964.4502102634146,3950.877068117096,3983.2663664922457
21.45,3813.0,3989.8311950842017,3961.176461677365,3955.2760489685784,3983.510207131956
21.48,4013.0,3990.011232986198,3957.784871610106,3959.7989580421213,3983.7673693541815
21.509999999999998,4013.0,3990.206306805889,3954.802680231861,3964.374996760138,3984.0828131439116
21.54,4019.0,3990.4155231833156,3952.4544062223317,3968.939054169963,3984.4717645858823
21.57,4019.0,3990.638000608941,3950.6949585540974,3973.4326655550103,3984.923162898064
21.599999999999998,4019.0,3990.872883592787,3949.4739618219887,3977.8042819713523,3985.426131253564
21.63,4016.0,3991.119343726979,3948.7328761908984,3982.0100378981647,3985.96976639049
21.66,4016.0,3991.376579091874,3948.413667369753,3986.0134013419424,3986.5439701446694
21.689999999999998,4016.0,3991.6438129200856,3948.466493785815,3989.7858120511637,3987.1402809197666
21.72,4018.0,3991.9202927371994,3948.851513291363,3993.3056506195853,3987.751950580855
21.75,4018.0,3992.2052904062507,3949.534222663353,3996.5576207173044,3988.3734166630666
21.779999999999998,4018.0,3992.4981025894813,3950.480054868637,3999.532655905329,3988.9997531489826
21.81,4012.0,3992.7980505927785,3951.647102226509,4002.226853462498,3989.625836043124
21.84,4012.0,3993.104478740871,3952.9896399884024,4004.6414432049196,3990.246691312029
21.869999999999997,4012.0,3993.416751892949,3954.4736969412997,4006.7815349815733,3990.8589247066466
21.9,4016.0,3993.734253926374,3956.0808659092136,4008.655657102816,3991.4610554423025
21.93,4016.0,3994.056388041703,3957.7991796000983,4010.275190507075,3992.05254744408
21.96,4022.0,3994.3825782806216,3959.6199566625532,4011.653304173817,3992.6333887081346
21.99,4022.0,3994.7122716483645,3961.537473306152,4012.8052161983815,3993.204086269145
22.02,4022.0,3995.0449402321674,3963.538716189204,4013.7465977960746,3993.764483584262
22.05,4026.0,3995.3800825854883,3965.6092418896765,4014.4944337878487,3994.314433636144
22.08,4026.0,3995.7172247439125,3967.7408662625744,4015.065222562292,3994.854388677617
22.11,4026.0,3996.055921360431,3969.921056242387,4015.475927290544,3995.3844354416383
22.14,4025.0,3996.3957562906567,3972.1322412134473,4015.7429370467753,3995.904122858548
22.169999999999998,4025.0,3996.7363422629946,3974.3574405064396,4015.8828785819683,3996.413105719237
22.2,4022.0,3997.0773199995856,3976.5790384537127,4015.9114887026913,3996.910908715309
22.23,4022.0,3997.4183569102,3978.7789437466436,4015.843616601741,3997.3969415629986
22.259999999999998,4022.0,3997.759145603034,3980.9449463645774,4015.69340213834,3997.871151332719
22.29,4007.0,3998.0994019082273,3983.051473610693,4015.4794018405046,3998.332609071702
22.32,4007.0,3998.4388607091914,3985.0575001638813,4015.2069611018646,3998.777534693928
22.349999999999998,4007.0,3998.7772701301237,3986.945778530661,4014.8880876411185,3999.2052027212776
22.38,4015.0,3999.114388038521,3988.730177451311,4014.5282801235617,3999.6173561883047
22.41,4015.0,3999.4499827508585,3990.4334550728213,4014.1444270099987,4000.0177744089688
22.439999999999998,4017.0,3999.783835749248,3992.06874369918,4013.744391186892,4000.4083820880055
22.47,4017.0,4000.115743790565,3993.6405728801456,4013.335635501712,4000.790215870638
22.5,4017.0,4000.445519799253,3995.150790163572,4012.9241956203077,4001.1639144177902
22.529999999999998,4010.0,4000.7729926048974,3996.590156642026,4012.515688289378,4001.5289785770588
22.56,4010.0,4001.0980050375565,3997.942131676483,4012.114435483968,4001.88406074609
22.59,4010.0,4001.4204110509136,3999.201177727956,4011.7242276691054,4002.228869380437
22.619999999999997,4003.0,4001.740073274126,4000.3628452806347,4011.349856975735,4002.563328844938
