time,s2,s3,s1
66.171,"{'ax': 599, 'ay': -257, 'wz': 14332, 'az': -3, 'wx': -8616, 'wy': -36}","{'ax': 605, 'ay': -21, 'wz': 14332, 'az': -5, 'wx': -8672, 'wy': -28}","{'ax': 12130, 'ay': 12419, 'wz': 11810, 'az': 12691, 'wx': 10994, 'wy': 11458}"
66.191,"{'ax': -201, 'ay': 253, 'wz': 14332, 'az': -132, 'wx': -8520, 'wy': -44}","{'ax': -217, 'ay': 186, 'wz': 16380, 'az': -145, 'wx': -8212, 'wy': -8}","{'ax': 12194, 'ay': 12467, 'wz': 11874, 'az': 12723, 'wx': 10834, 'wy': 11522}"
66.211,"{'ax': -243, 'ay': 251, 'wz': 14316, 'az': -76, 'wx': -8456, 'wy': -148}","{'ax': -258, 'ay': 255, 'wz': 13948, 'az': -83, 'wx': -8456, 'wy': -168}","{'ax': 12242, 'ay': 12515, 'wz': 11922, 'az': 12739, 'wx': 10898, 'wy': 11490}"
66.231,"{'ax': -346, 'ay': -66, 'wz': 14172, 'az': -35, 'wx': -8464, 'wy': -4}","{'ax': -346, 'ay': -66, 'wz': 14172, 'az': -37, 'wx': -8464, 'wy': -4}","{'ax': 12178, 'ay': 12451, 'wz': 11858, 'az': 12723, 'wx': 11090, 'wy': 11490}"
66.251,"{'ax': -130, 'ay': -6, 'wz': 13816, 'az': -4, 'wx': -8388, 'wy': -372}","{'ax': -130, 'ay': -29, 'wz': 13820, 'az': -33, 'wx': -8292, 'wy': -356}","{'ax': 12226, 'ay': 12483, 'wz': 11890, 'az': 12723, 'wx': 10866, 'wy': 11474}"
66.271,"{'ax': -395, 'ay': 95, 'wz': 13820, 'az': 346, 'wx': -8596, 'wy': -280}","{'ax': -393, 'ay': 47, 'wz': 13708, 'az': 349, 'wx': -8584, 'wy': -276}","{'ax': 12082, 'ay': 12355, 'wz': 11746, 'az': 12707, 'wx': 10962, 'wy': 11394}"
66.291,"{'ax': 625, 'ay': -1, 'wz': 14332, 'az': 207, 'wx': -8200, 'wy': -264}","{'ax': 637, 'ay': -2, 'wz': 14332, 'az': 243, 'wx': -8244, 'wy': -260}","{'ax': 12114, 'ay': 12403, 'wz': 11794, 'az': 12643, 'wx': 10786, 'wy': 11426}"
66.311,"{'ax': 630, 'ay': 91, 'wz': 14232, 'az': 349, 'wx': -8452, 'wy': -388}","{'ax': 743, 'ay': 107, 'wz': 14280, 'az': 377, 'wx': -8476, 'wy': -388}","{'ax': 12098, 'ay': 12387, 'wz': 11778, 'az': 12707, 'wx': 10978, 'wy': 11426}"
66.331,"{'ax': -136, 'ay': 241, 'wz': 14252, 'az': 382, 'wx': -8212, 'wy': -268}","{'ax': -131, 'ay': 233, 'wz': 14076, 'az': 383, 'wx': -8196, 'wy': -268}","{'ax': 12194, 'ay': 12483, 'wz': 11906, 'az': 12723, 'wx': 10850, 'wy': 11362}"
66.351,"{'ax': -261, 'ay': 255, 'wz': 14168, 'az': 447, 'wx': -8196, 'wy': -4}","{'ax': -24, 'ay': 250, 'wz': 13800, 'az': 414, 'wx': -8836, 'wy': -260}","{'ax': 12274, 'ay': 12531, 'wz': 11698, 'az': 12755, 'wx': 10882, 'wy': 11314}"
66.371,"{'ax': -1, 'ay': -35, 'wz': 14328, 'az': 190, 'wx': -8532, 'wy': -3684}","{'ax': -1, 'ay': -137, 'wz': 14328, 'az': 187, 'wx': -8564, 'wy': -4}","{'ax': 12066, 'ay': 12355, 'wz': 11730, 'az': 12611, 'wx': 10866, 'wy': 11346}"
66.391,"{'ax': -54, 'ay': -5, 'wz': 14060, 'az': -213, 'wx': -8516, 'wy': -3188}","{'ax': -1, 'ay': -65, 'wz': 14188, 'az': -135, 'wx': -8484, 'wy': -3444}","{'ax': 12098, 'ay': 12387, 'wz': 11794, 'az': 12627, 'wx': 10738, 'wy': 11410}"
66.411,"{'ax': -49, 'ay': -134, 'wz': 13668, 'az': -1, 'wx': -8324, 'wy': -3336}","{'ax': -98, 'ay': -130, 'wz': 13668, 'az': -5, 'wx': -8324, 'wy': -3336}","{'ax': 12130, 'ay': 12419, 'wz': 11810, 'az': 12643, 'wx': 10754, 'wy': 11442}"
66.431,"{'ax': -419, 'ay': -9, 'wz': 14328, 'az': -233, 'wx': -8452, 'wy': -120}","{'ax': -1, 'ay': -10, 'wz': 13916, 'az': -257, 'wx': -8452, 'wy': -8}","{'ax': 12066, 'ay': 12515, 'wz': 11730, 'az': 12867, 'wx': 10978, 'wy': 11362}"
66.451,"{'ax': -2, 'ay': 239, 'wz': 13756, 'az': -73, 'wx': -8228, 'wy': -12}","{'ax': -29, 'ay': 147, 'wz': 13712, 'az': -74, 'wx': -8480, 'wy': -244}","{'ax': 12066, 'ay': 12467, 'wz': 11714, 'az': 12819, 'wx': 10914, 'wy': 11330}"
66.471,"{'ax': -387, 'ay': -25, 'wz': 14204, 'az': -17, 'wx': -8212, 'wy': -164}","{'ax': -258, 'ay': -3, 'wz': 14268, 'az': -21, 'wx': -8688, 'wy': -180}","{'ax': 12002, 'ay': 12291, 'wz': 11682, 'az': 12803, 'wx': 10850, 'wy': 11266}"
66.491,"{'ax': -333, 'ay': -197, 'wz': 13820, 'az': -129, 'wx': -8328, 'wy': -4}","{'ax': -323, 'ay': -199, 'wz': 13756, 'az': -133, 'wx': -8296, 'wy': -4}","{'ax': 11986, 'ay': 12291, 'wz': 11682, 'az': 12787, 'wx': 10850, 'wy': 11314}"
66.511,"{'ax': -195, 'ay': -417, 'wz': 14036, 'az': -65, 'wx': -8324, 'wy': -132}","{'ax': -197, 'ay': -385, 'wz': 14060, 'az': -65, 'wx': -8228, 'wy': -92}","{'ax': 12130, 'ay': 12419, 'wz': 11826, 'az': 12659, 'wx': 10754, 'wy': 11378}"
66.531,"{'ax': -17, 'ay': -193, 'wz': 14332, 'az': -129, 'wx': -8280, 'wy': -132}","{'ax': -5, 'ay': -201, 'wz': 14332, 'az': -29, 'wx': -8284, 'wy': -136}","{'ax': 12114, 'ay': 12387, 'wz': 11778, 'az': 12643, 'wx': 10930, 'wy': 11410}"
66.551,"{'ax': -481, 'ay': -279, 'wz': 14248, 'az': -528, 'wx': -8324, 'wy': -400}","{'ax': -466, 'ay': -41, 'wz': 14196, 'az': -519, 'wx': -8228, 'wy': -520}","{'ax': 12226, 'ay': 12499, 'wz': 11666, 'az': 12739, 'wx': 10818, 'wy': 11266}"
66.571,"{'ax': -27, 'ay': -269, 'wz': 13748, 'az': -665, 'wx': -8196, 'wy': -484}","{'ax': -18, 'ay': -263, 'wz': 13748, 'az': -665, 'wx': -8196, 'wy': -484}","{'ax': 12130, 'ay': 12483, 'wz': 11618, 'az': 12755, 'wx': 10786, 'wy': 11250}"
66.591,"{'ax': -129, 'ay': -389, 'wz': 13816, 'az': -545, 'wx': -8292, 'wy': -4168}","{'ax': -86, 'ay': -290, 'wz': 13816, 'az': -537, 'wx': -8268, 'wy': -4196}","{'ax': 12034, 'ay': 12323, 'wz': 11698, 'az': 12595, 'wx': 10898, 'wy': 11282}"
66.611,"{'ax': -17, 'ay': -49, 'wz': 14232, 'az': -193, 'wx': -304, 'wy': -452}","{'ax': -237, 'ay': -129, 'wz': 14232, 'az': -137, 'wx': -44, 'wy': -516}","{'ax': 12098, 'ay': 12403, 'wz': 11762, 'az': 12643, 'wx': 10738, 'wy': 11394}"
66.631,"{'ax': -195, 'ay': -145, 'wz': 13820, 'az': -177, 'wx': -148, 'wy': -4132}","{'ax': -153, 'ay': -129, 'wz': 13980, 'az': -163, 'wx': -132, 'wy': -4108}","{'ax': 12146, 'ay': 12435, 'wz': 11826, 'az': 12675, 'wx': 10770, 'wy': 11474}"
66.651,"{'ax': -143, 'ay': -6, 'wz': 14028, 'az': -131, 'wx': -524, 'wy': -428}","{'ax': -159, 'ay': -2, 'wz': 14044, 'az': -130, 'wx': -532, 'wy': -484}","{'ax': 12050, 'ay': 12339, 'wz': 11714, 'az': 12659, 'wx': 10898, 'wy': 11314}"
66.671,"{'ax': -273, 'ay': -1, 'wz': 14076, 'az': -10, 'wx': -8268, 'wy': -4100}","{'ax': -385, 'ay': -17, 'wz': 14240, 'az': -19, 'wx': -8292, 'wy': -4116}","{'ax': 12002, 'ay': 12307, 'wz': 11682, 'az': 12803, 'wx': 10834, 'wy': 11266}"
