time,MRU1,MRU2
0.830518,"{'ax': -4092, 'ay': -976, 'az': 16028, 'gx': -501, 'gy': -369, 'gz': -630}","{'ax': 0.167969, 'ay': 0.055176, 'az': -1.050293, 'gx': 2.075195, 'gy': -2.319336, 'gz': 2.380371}"
0.846701,"{'ax': -3676, 'ay': -1096, 'az': 15772, 'gx': -325, 'gy': -545, 'gz': -771}","{'ax': 0.161133, 'ay': 0.063477, 'az': -1.044434, 'gx': 1.220703, 'gy': -0.854492, 'gz': 3.356934}"
0.86298,"{'ax': -3460, 'ay': -916, 'az': 15824, 'gx': -274, 'gy': -765, 'gz': -810}","{'ax': 0.144531, 'ay': 0.04834, 'az': -1.026855, 'gx': 1.403809, 'gy': 0.671387, 'gz': 3.78418}"
0.879198,"{'ax': -3128, 'ay': -692, 'az': 15416, 'gx': -239, 'gy': -722, 'gz': -777}","{'ax': 0.134766, 'ay': 0.034668, 'az': -1.006836, 'gx': 0.671387, 'gy': -0.061035, 'gz': 3.173828}"
0.895458,"{'ax': -2868, 'ay': -592, 'az': 15520, 'gx': -112, 'gy': -537, 'gz': -641}","{'ax': 0.123047, 'ay': 0.025879, 'az': -1.007813, 'gx': -0.549316, 'gy': -1.647949, 'gz': 1.831055}"
0.911738,"{'ax': -3212, 'ay': -828, 'az': 16164, 'gx': -421, 'gy': -628, 'gz': -565}","{'ax': 0.126953, 'ay': 0.050293, 'az': -1.015625, 'gx': 2.868652, 'gy': 0.366211, 'gz': 2.197266}"
0.927998,"{'ax': -3352, 'ay': -780, 'az': 15736, 'gx': -965, 'gy': -872, 'gz': -858}","{'ax': 0.134766, 'ay': 0.044434, 'az': -1.015625, 'gx': 6.408691, 'gy': 0.488281, 'gz': 3.479004}"
0.944162,"{'ax': -3084, 'ay': -900, 'az': 15460, 'gx': -977, 'gy': -236, 'gz': -802}","{'ax': 0.139648, 'ay': 0.05127, 'az': -1.011719, 'gx': 6.225586, 'gy': -3.723145, 'gz': 2.807617}"
0.960406,"{'ax': -3320, 'ay': -1020, 'az': 15004, 'gx': -766, 'gy': -157, 'gz': -554}","{'ax': 0.152832, 'ay': 0.056641, 'az': -1.003906, 'gx': 4.089355, 'gy': -4.02832, 'gz': 1.098633}"
0.976683,"{'ax': -3740, 'ay': -1184, 'az': 14836, 'gx': -341, 'gy': -454, 'gz': -600}","{'ax': 0.165039, 'ay': 0.061035, 'az': -0.996094, 'gx': 0.549316, 'gy': -1.342773, 'gz': 2.319336}"
0.992957,"{'ax': -3572, 'ay': -1056, 'az': 14372, 'gx': 439, 'gy': -339, 'gz': -656}","{'ax': 0.160156, 'ay': 0.060059, 'az': -0.989258, 'gx': -5.859375, 'gy': -3.051758, 'gz': 3.051758}"
1.009138,"{'ax': -3400, 'ay': -924, 'az': 15240, 'gx': 1138, 'gy': -358, 'gz': -474}","{'ax': 0.164551, 'ay': 0.054199, 'az': -1.029785, 'gx': -10.49805, 'gy': -1.89209, 'gz': 1.647949}"
1.025312,"{'ax': -3492, 'ay': -728, 'az': 15576, 'gx': 1599, 'gy': -839, 'gz': -184}","{'ax': 0.164551, 'ay': 0.041992, 'az': -1.039551, 'gx': -14.34326, 'gy': 1.89209, 'gz': -0.183105}"
1.041487,"{'ax': -3820, 'ay': -880, 'az': 16364, 'gx': 1670, 'gy': -1084, 'gz': -143}","{'ax': 0.163574, 'ay': 0.050781, 'az': -1.050293, 'gx': -13.18359, 'gy': 3.112793, 'gz': -0.12207}"
1.057771,"{'ax': -3684, 'ay': -608, 'az': 16516, 'gx': 1007, 'gy': -955, 'gz': -318}","{'ax': 0.158203, 'ay': 0.034668, 'az': -1.046387, 'gx': -7.873535, 'gy': 0.732422, 'gz': 0.427246}"
1.073946,"{'ax': -3496, 'ay': -612, 'az': 16732, 'gx': 215, 'gy': -433, 'gz': -307}","{'ax': 0.15918, 'ay': 0.033691, 'az': -1.053223, 'gx': -2.380371, 'gy': -2.075195, 'gz': -0.305176}"
1.090144,"{'ax': -3716, 'ay': -656, 'az': 16260, 'gx': -357, 'gy': -221, 'gz': -212}","{'ax': 0.164551, 'ay': 0.039551, 'az': -1.039063, 'gx': 2.01416, 'gy': -3.845215, 'gz': -1.098633}"
1.106404,"{'ax': -3932, 'ay': -852, 'az': 15676, 'gx': -520, 'gy': -244, 'gz': -261}","{'ax': 0.169434, 'ay': 0.049316, 'az': -1.026367, 'gx': 2.319336, 'gy': -3.601074, 'gz': -0.427246}"
1.122693,"{'ax': -3732, 'ay': -908, 'az': 15040, 'gx': -88, 'gy': -308, 'gz': -212}","{'ax': 0.175781, 'ay': 0.056152, 'az': -1.01416, 'gx': -1.525879, 'gy': -2.990723, 'gz': -0.732422}"
1.138967,"{'ax': -3800, 'ay': -1024, 'az': 14624, 'gx': 631, 'gy': -366, 'gz': -12}","{'ax': 0.173828, 'ay': 0.061523, 'az': -0.993164, 'gx': -6.835938, 'gy': -2.624512, 'gz': -1.953125}"
1.155166,"{'ax': -4108, 'ay': -1176, 'az': 14688, 'gx': 1265, 'gy': -288, 'gz': -108}","{'ax': 0.175781, 'ay': 0.065918, 'az': -0.987305, 'gx': -11.65771, 'gy': -3.234863, 'gz': -0.671387}"
1.171445,"{'ax': -3872, 'ay': -1164, 'az': 15324, 'gx': 1461, 'gy': -682, 'gz': -388}","{'ax': 0.166992, 'ay': 0.061523, 'az': -1.006836, 'gx': -12.69531, 'gy': 0.305176, 'gz': 1.586914}"
1.187656,"{'ax': -3296, 'ay': -732, 'az': 15596, 'gx': 1496, 'gy': -901, 'gz': -347}","{'ax': 0.150879, 'ay': 0.041016, 'az': -1.011719, 'gx': -12.75635, 'gy': 1.647949, 'gz': 0.915527}"
1.203825,"{'ax': -3060, 'ay': -624, 'az': 15720, 'gx': 1480, 'gy': -1061, 'gz': 46}","{'ax': 0.152344, 'ay': 0.033691, 'az': -1.039063, 'gx': -13.12256, 'gy': 3.112793, 'gz': -2.441406}"
1.220024,"{'ax': -3340, 'ay': -580, 'az': 15684, 'gx': 1704, 'gy': -1600, 'gz': 349}","{'ax': 0.15625, 'ay': 0.033691, 'az': -1.041016, 'gx': -15.44189, 'gy': 7.446289, 'gz': -4.211426}"
1.236206,"{'ax': -3612, 'ay': -616, 'az': 15588, 'gx': 1998, 'gy': -1886, 'gz': 422}","{'ax': 0.153809, 'ay': 0.029785, 'az': -1.032227, 'gx': -16.78467, 'gy': 8.850098, 'gz': -4.516602}"
1.25238,"{'ax': -3328, 'ay': -356, 'az': 15172, 'gx': 2175, 'gy': -1245, 'gz': 377}","{'ax': 0.151367, 'ay': 0.015137, 'az': -1.011719, 'gx': -18.67676, 'gy': 2.685547, 'gz': -4.272461}"
1.26856,"{'ax': -3388, 'ay': -116, 'az': 15576, 'gx': 2342, 'gy': -532, 'gz': 465}","{'ax': 0.151855, 'ay': 0.000488, 'az': -1.018066, 'gx': -19.34814, 'gy': -1.281738, 'gz': -4.638672}"
1.284771,"{'ax': -3772, 'ay': -48, 'az': 16564, 'gx': 1931, 'gy': -877, 'gz': 400}","{'ax': 0.165039, 'ay': -0.003418, 'az': -1.050293, 'gx': -15.19775, 'gy': 2.624512, 'gz': -3.967285}"
1.300959,"{'ax': -3908, 'ay': -292, 'az': 16660, 'gx': 1205, 'gy': -1457, 'gz': 31}","{'ax': 0.159668, 'ay': 0.01123, 'az': -1.052246, 'gx': -9.460449, 'gy': 5.432129, 'gz': -1.647949}"
1.317144,"{'ax': -3828, 'ay': -276, 'az': 16232, 'gx': 575, 'gy': -782, 'gz': -343}","{'ax': 0.150879, 'ay': 0.011719, 'az': -1.035645, 'gx': -5.249023, 'gy': -0.488281, 'gz': 0.976563}"
1.333404,"{'ax': -3480, 'ay': -36, 'az': 16736, 'gx': 139, 'gy': -410, 'gz': -616}","{'ax': 0.145508, 'ay': -0.000977, 'az': -1.07666, 'gx': -1.89209, 'gy': -1.708984, 'gz': 2.01416}"
1.34965,"{'ax': -2888, 'ay': 248, 'az': 16680, 'gx': -115, 'gy': -817, 'gz': -476}","{'ax': 0.129395, 'ay': -0.016602, 'az': -1.073242, 'gx': 0.061035, 'gy': 1.525879, 'gz': 0.732422}"
1.36589,"{'ax': -2680, 'ay': 196, 'az': 16160, 'gx': -195, 'gy': -1038, 'gz': -33}","{'ax': 0.125, 'ay': -0.02002, 'az': -1.061035, 'gx': 0, 'gy': 2.380371, 'gz': -2.929688}"
1.382089,"{'ax': -2996, 'ay': -76, 'az': 15824, 'gx': -227, 'gy': -636, 'gz': 322}","{'ax': 0.132813, 'ay': 0.004395, 'az': -1.024414, 'gx': 0.12207, 'gy': -0.976563, 'gz': -4.943848}"
1.398315,"{'ax': -3400, 'ay': -372, 'az': 15592, 'gx': -302, 'gy': -106, 'gz': 416}","{'ax': 0.15918, 'ay': 0.018066, 'az': -1.013184, 'gx': 0.671387, 'gy': -5.187988, 'gz': -5.554199}"
1.414562,"{'ax': -4284, 'ay': -812, 'az': 16152, 'gx': -659, 'gy': -195, 'gz': 134}","{'ax': 0.177246, 'ay': 0.045898, 'az': -1.027832, 'gx': 4.394531, 'gy': -3.112793, 'gz': -3.112793}"
1.430774,"{'ax': -4180, 'ay': -780, 'az': 15688, 'gx': -958, 'gy': -539, 'gz': -345}","{'ax': 0.175781, 'ay': 0.042969, 'az': -1.019531, 'gx': 6.225586, 'gy': -1.220703, 'gz': 0.610352}"
1.44696,"{'ax': -3620, 'ay': -616, 'az': 15428, 'gx': -985, 'gy': -791, 'gz': -528}","{'ax': 0.162109, 'ay': 0.035645, 'az': -1.019043, 'gx': 5.981445, 'gy': 1.281738, 'gz': 1.220703}"
1.463125,"{'ax': -3320, 'ay': -580, 'az': 14648, 'gx': -622, 'gy': -1213, 'gz': -419}","{'ax': 0.150879, 'ay': 0.032715, 'az': -0.994629, 'gx': 2.380371, 'gy': 4.211426, 'gz': 0.610352}"
1.479369,"{'ax': -3376, 'ay': -592, 'az': 14408, 'gx': 109, 'gy': -1531, 'gz': -335}","{'ax': 0.145508, 'ay': 0.034668, 'az': -0.991211, 'gx': -3.417969, 'gy': 6.835938, 'gz': 0.488281}"
1.495532,"{'ax': -3104, 'ay': -596, 'az': 14388, 'gx': 877, 'gy': -1557, 'gz': -322}","{'ax': 0.12793, 'ay': 0.032227, 'az': -0.980957, 'gx': -9.155273, 'gy': 5.859375, 'gz': 0.915527}"
1.511699,"{'ax': -2884, 'ay': -496, 'az': 14840, 'gx': 1339, 'gy': -936, 'gz': -292}","{'ax': 0.117188, 'ay': 0.023926, 'az': -0.991699, 'gx': -11.77979, 'gy': 0.793457, 'gz': 0.793457}"
1.527957,"{'ax': -3056, 'ay': -368, 'az': 15828, 'gx': 1135, 'gy': -382, 'gz': -370}","{'ax': 0.123047, 'ay': 0.010254, 'az': -1.025391, 'gx': -10.0708, 'gy': -3.295898, 'gz': 0.915527}"
1.544138,"{'ax': -3308, 'ay': -100, 'az': 16560, 'gx': 792, 'gy': -76, 'gz': -281}","{'ax': 0.141602, 'ay': 0.003906, 'az': -1.053223, 'gx': -6.652832, 'gy': -4.516602, 'gz': 0.12207}"
1.560311,"{'ax': -3484, 'ay': -148, 'az': 17108, 'gx': 225, 'gy': -620, 'gz': -207}","{'ax': 0.159668, 'ay': 0.004395, 'az': -1.084961, 'gx': -2.502441, 'gy': 0.427246, 'gz': -0.732422}"
1.576485,"{'ax': -3876, 'ay': -456, 'az': 16548, 'gx': -117, 'gy': -1185, 'gz': -237}","{'ax': 0.16748, 'ay': 0.015137, 'az': -1.071777, 'gx': 0.061035, 'gy': 4.089355, 'gz': -0.12207}"
1.592672,"{'ax': -3952, 'ay': -584, 'az': 16064, 'gx': -227, 'gy': -1355, 'gz': -510}","{'ax': 0.163574, 'ay': 0.035645, 'az': -1.051758, 'gx': 0.610352, 'gy': 4.943848, 'gz': 2.01416}"
1.608843,"{'ax': -3576, 'ay': -444, 'az': 15724, 'gx': -95, 'gy': -1334, 'gz': -680}","{'ax': 0.149414, 'ay': 0.021484, 'az': -1.037598, 'gx': -0.366211, 'gy': 4.821777, 'gz': 2.807617}"
1.625088,"{'ax': -3100, 'ay': -316, 'az': 15656, 'gx': 98, 'gy': -1202, 'gz': -592}","{'ax': 0.138672, 'ay': 0.012695, 'az': -1.029785, 'gx': -2.258301, 'gy': 3.540039, 'gz': 1.953125}"
1.641333,"{'ax': -3068, 'ay': -284, 'az': 15596, 'gx': 203, 'gy': -1095, 'gz': -349}","{'ax': 0.133789, 'ay': 0.015625, 'az': -1.019043, 'gx': -2.929688, 'gy': 2.807617, 'gz': -0.305176}"
1.657601,"{'ax': -3376, 'ay': -456, 'az': 15672, 'gx': 147, 'gy': -1102, 'gz': -239}","{'ax': 0.149414, 'ay': 0.025391, 'az': -1.022949, 'gx': -2.319336, 'gy': 2.929688, 'gz': -0.305176}"
1.673791,"{'ax': -3656, 'ay': -532, 'az': 15860, 'gx': 221, 'gy': -1120, 'gz': -381}","{'ax': 0.151367, 'ay': 0.033203, 'az': -1.043945, 'gx': -3.051758, 'gy': 3.662109, 'gz': 0.976563}"
1.689959,"{'ax': -3408, 'ay': -388, 'az': 16024, 'gx': 287, 'gy': -1530, 'gz': -584}","{'ax': 0.135254, 'ay': 0.019531, 'az': -1.04834, 'gx': -3.601074, 'gy': 6.958008, 'gz': 2.13623}"
1.706125,"{'ax': -2728, 'ay': -344, 'az': 15952, 'gx': 239, 'gy': -1745, 'gz': -450}","{'ax': 0.108887, 'ay': 0.012207, 'az': -1.031738, 'gx': -2.929688, 'gy': 7.568359, 'gz': 1.342773}"
1.722368,"{'ax': -2732, 'ay': -348, 'az': 16264, 'gx': -195, 'gy': -1323, 'gz': -378}","{'ax': 0.106445, 'ay': 0.013672, 'az': -1.024414, 'gx': 1.159668, 'gy': 4.638672, 'gz': 0.610352}"
1.73862,"{'ax': -2584, 'ay': -240, 'az': 15808, 'gx': -764, 'gy': -586, 'gz': -330}","{'ax': 0.11084, 'ay': 0.012207, 'az': -1.013672, 'gx': 4.821777, 'gy': -2.441406, 'gz': -0.610352}"
1.75488,"{'ax': -3112, 'ay': -544, 'az': 15444, 'gx': -1126, 'gy': 115, 'gz': -217}","{'ax': 0.135742, 'ay': 0.032715, 'az': -1.003418, 'gx': 7.507324, 'gy': -7.019043, 'gz': -1.403809}"
1.771054,"{'ax': -3796, 'ay': -612, 'az': 15220, 'gx': -1021, 'gy': 167, 'gz': -343}","{'ax': 0.158691, 'ay': 0.033203, 'az': -1.008301, 'gx': 6.04248, 'gy': -5.79834, 'gz': -0.12207}"
1.787252,"{'ax': -3880, 'ay': -736, 'az': 15168, 'gx': -592, 'gy': -662, 'gz': -576}","{'ax': 0.160645, 'ay': 0.038086, 'az': -1.019531, 'gx': 2.685547, 'gy': 0.854492, 'gz': 2.075195}"
1.803496,"{'ax': -3308, 'ay': -708, 'az': 14836, 'gx': -98, 'gy': -1246, 'gz': -693}","{'ax': 0.13623, 'ay': 0.037109, 'az': -1.010254, 'gx': -1.281738, 'gy': 4.333496, 'gz': 3.173828}"
