time,s2,s3,s1
242.468,"{'ax': -1.556231, 'ay': -7.357382, 'wz': -0.0007993876, 'az': 6.10282, 'wx': -0.3156248, 'wy': 0.1011225}","{'ax': -1.539472, 'ay': -7.37893, 'wz': -0.02811179, 'az': 6.126762, 'wx': -0.307098, 'wy': 0.1021884}","{'ax': 11586, 'ay': 12162, 'wz': 11202, 'az': 12451, 'wx': 10274, 'wy': 10770}"
242.488,"{'ax': -1.541866, 'ay': -7.534553, 'wz': -0.07687443, 'az': 5.820304, 'wx': -0.2831164, 'wy': 0.01318989}","{'ax': -1.309628, 'ay': -7.510611, 'wz': -0.07714089, 'az': 5.808333, 'wx': -0.2817841, 'wy': 0.01532159}","{'ax': 11602, 'ay': 11938, 'wz': 11218, 'az': 12258, 'wx': 10034, 'wy': 10786}"
242.508,"{'ax': -1.534683, 'ay': -7.66384, 'wz': -0.005462481, 'az': 5.437232, 'wx': -0.1408254, 'wy': 0.06794793}","{'ax': -1.477222, 'ay': -7.66384, 'wz': -0.005462481, 'az': 5.461174, 'wx': -0.1381608, 'wy': 0.04010261}","{'ax': 11506, 'ay': 11858, 'wz': 11138, 'az': 12178, 'wx': 9906, 'wy': 10690}"
242.528,"{'ax': -1.323994, 'ay': -7.759608, 'wz': -0.001199081, 'az': 5.494693, 'wx': -0.001998468, 'wy': -0.00319755}","{'ax': -1.326388, 'ay': -7.790732, 'wz': -0.001865238, 'az': 5.475539, 'wx': -0.002264931, 'wy': -0.07154518}","{'ax': 11506, 'ay': 11874, 'wz': 11106, 'az': 12194, 'wx': 10130, 'wy': 10658}"
242.548,"{'ax': -1.206678, 'ay': -7.398083, 'wz': 0.03397397, 'az': 5.336676, 'wx': 0.2727244, 'wy': -0.1390934}","{'ax': -0.002394202, 'ay': -7.398083, 'wz': 0.03344104, 'az': 5.418078, 'wx': 0.268461, 'wy': -0.154415}","{'ax': 11602, 'ay': 11954, 'wz': 11234, 'az': 12258, 'wx': 10258, 'wy': 10786}"
242.568,"{'ax': -1.30484, 'ay': -7.539341, 'wz': 0.07967228, 'az': 6.045359, 'wx': 0.3878362, 'wy': -0.2731241}","{'ax': -1.314417, 'ay': -7.515399, 'wz': 0.07967228, 'az': 6.050148, 'wx': 0.3963629, 'wy': -0.2747228}","{'ax': 11618, 'ay': 11970, 'wz': 11234, 'az': 12339, 'wx': 10338, 'wy': 10818}"
242.593,"{'ax': -0.007182605, 'ay': -7.050924, 'wz': 0.2599342, 'az': 6.71813, 'wx': 0.5427841, 'wy': -0.29151}","{'ax': -0.1843535, 'ay': -6.916849, 'wz': 0.1265697, 'az': 6.720524, 'wx': 0.5389204, 'wy': -0.3265498}","{'ax': 11298, 'ay': 11682, 'wz': 10898, 'az': 12002, 'wx': 9554, 'wy': 10130}"
242.613,"{'ax': -1.276109, 'ay': -6.864176, 'wz': 0.1165773, 'az': 6.988675, 'wx': 0.5263967, 'wy': -0.2479434}","{'ax': -1.285686, 'ay': -6.859388, 'wz': 0.1116478, 'az': 6.926425, 'wx': 0.5279954, 'wy': -0.2580689}","{'ax': 11506, 'ay': 11858, 'wz': 11106, 'az': 12387, 'wx': 10130, 'wy': 10642}"
242.633,"{'ax': -1.54426, 'ay': -7.050924, 'wz': 0.07540888, 'az': 7.345411, 'wx': 0.5072113, 'wy': -0.1024548}","{'ax': -1.537078, 'ay': -7.053318, 'wz': 0.07540888, 'az': 9.572019, 'wx': 0.5029479, 'wy': -0.1045865}","{'ax': 11602, 'ay': 11938, 'wz': 11218, 'az': 12515, 'wx': 10322, 'wy': 10802}"
242.653,"{'ax': -1.692701, 'ay': -4.915296, 'wz': 0.1357626, 'az': 9.715671, 'wx': 0.3563936, 'wy': -0.1461547}","{'ax': -1.668759, 'ay': -4.905719, 'wz': 0.1352297, 'az': 9.715671, 'wx': 0.3574594, 'wy': -0.1381608}","{'ax': 11682, 'ay': 12034, 'wz': 11330, 'az': 12323, 'wx': 10130, 'wy': 10658}"
242.673,"{'ax': -1.611298, 'ay': -6.766014, 'wz': 0.04463247, 'az': 7.649475, 'wx': 0.5455819, 'wy': -0.3023017}","{'ax': -1.237802, 'ay': -6.754043, 'wz': 0.04183461, 'az': 7.649475, 'wx': 0.5433169, 'wy': -0.2729908}","{'ax': 11618, 'ay': 11970, 'wz': 11234, 'az': 12258, 'wx': 9986, 'wy': 10546}"
242.693,"{'ax': -1.247379, 'ay': -6.916849, 'wz': -0.0002664625, 'az': 9.794679, 'wx': 0.2578025, 'wy': -0.09765851}","{'ax': -1.666364, 'ay': -6.907272, 'wz': -0.004929556, 'az': 9.804255, 'wx': 0.2514074, 'wy': -0.07061256}","{'ax': 11458, 'ay': 11826, 'wz': 11042, 'az': 12307, 'wx': 10050, 'wy': 10562}"
242.713,"{'ax': -1.343147, 'ay': -6.924031, 'wz': -0.002264931, 'az': 9.744401, 'wx': -0.008660031, 'wy': 0.119242}","{'ax': -1.343147, 'ay': -6.91206, 'wz': -0.004396631, 'az': 9.78989, 'wx': -0.01785299, 'wy': 0.1171103}","{'ax': 11506, 'ay': 12114, 'wz': 11090, 'az': 12387, 'wx': 10114, 'wy': 10610}"
242.733,"{'ax': -1.565808, 'ay': -4.915296, 'wz': -0.01025881, 'az': 7.352593, 'wx': -0.0001332312, 'wy': 0.101389}","{'ax': -1.565808, 'ay': -4.910508, 'wz': -0.009192955, 'az': 7.352593, 'wx': -0.01345636, 'wy': 0.09965697}","{'ax': 11730, 'ay': 12050, 'wz': 11362, 'az': 12339, 'wx': 10162, 'wy': 10930}"
242.753,"{'ax': -1.314417, 'ay': -4.905719, 'wz': -0.02598009, 'az': 7.038953, 'wx': -0.01718683, 'wy': -0.0001332312}","{'ax': -1.309628, 'ay': -4.905719, 'wz': -0.02837825, 'az': 7.026982, 'wx': -0.01718683, 'wy': -0.0006661562}","{'ax': 11730, 'ay': 12050, 'wz': 11346, 'az': 12339, 'wx': 10146, 'wy': 10770}"
242.773,"{'ax': -1.233014, 'ay': -4.908113, 'wz': -0.0003996938, 'az': 7.285556, 'wx': -0.05129403, 'wy': -0.05262633}","{'ax': -1.228225, 'ay': -4.91769, 'wz': -0.001332312, 'az': 7.343017, 'wx': -0.0528928, 'wy': -0.06088668}","{'ax': 11602, 'ay': 11922, 'wz': 11186, 'az': 12242, 'wx': 9986, 'wy': 10754}"
242.793,"{'ax': -1.381454, 'ay': -5.058948, 'wz': -0.002264931, 'az': 6.739678, 'wx': -0.06475039, 'wy': -0.002264931}","{'ax': -1.400608, 'ay': -5.080496, 'wz': -0.001199081, 'az': 6.739678, 'wx': -0.06062021, 'wy': -0.0003996938}","{'ax': 11426, 'ay': 11794, 'wz': 11010, 'az': 12371, 'wx': 10034, 'wy': 10546}"
242.813,"{'ax': -1.381454, 'ay': -5.142745, 'wz': -0.02571363, 'az': 6.490681, 'wx': -0.006261868, 'wy': -0.07261103}","{'ax': -1.391031, 'ay': -5.063736, 'wz': -0.02571363, 'az': 6.586449, 'wx': -0.0006661562, 'wy': -0.07794027}","{'ax': 11570, 'ay': 11922, 'wz': 11186, 'az': 12226, 'wx': 10178, 'wy': 10754}"
242.833,"{'ax': -1.23062, 'ay': -4.912902, 'wz': -0.01958499, 'az': 7.343017, 'wx': 0.1005896, 'wy': -0.1538821}","{'ax': -1.23062, 'ay': -4.927267, 'wz': -0.02145023, 'az': 7.352593, 'wx': 0.09792496, 'wy': -0.1552144}","{'ax': 11714, 'ay': 12034, 'wz': 11282, 'az': 12307, 'wx': 10402, 'wy': 10882}"
242.853,"{'ax': -1.237802, 'ay': -4.96318, 'wz': -0.01079173, 'az': 6.909666, 'wx': 0.1011225, 'wy': -0.1549479}","{'ax': -1.242591, 'ay': -4.939238, 'wz': -0.007061255, 'az': 7.33344, 'wx': 0.09339511, 'wy': -0.157879}","{'ax': 11682, 'ay': 12018, 'wz': 11314, 'az': 12307, 'wx': 10162, 'wy': 10898}"
242.873,"{'ax': -1.572991, 'ay': -7.007828, 'wz': -0.01105819, 'az': 7.034164, 'wx': 0.1016554, 'wy': -0.08899847}","{'ax': -1.572991, 'ay': -6.979098, 'wz': -0.01092496, 'az': 6.890512, 'wx': 0.09792496, 'wy': -0.08646708}","{'ax': 11522, 'ay': 12082, 'wz': 11074, 'az': 12339, 'wx': 10050, 'wy': 10562}"
242.893,"{'ax': -1.240196, 'ay': -4.915296, 'wz': -0.0006661562, 'az': 7.041347, 'wx': 0.1256371, 'wy': -0.1067182}","{'ax': -1.266533, 'ay': -6.993463, 'wz': -0.001732006, 'az': 7.275979, 'wx': 0.1276355, 'wy': -0.1024548}","{'ax': 11554, 'ay': 11890, 'wz': 10962, 'az': 12210, 'wx': 9922, 'wy': 10482}"
242.913,"{'ax': -1.228225, 'ay': -7.127539, 'wz': -0.0002664625, 'az': 7.340622, 'wx': 0.07434303, 'wy': -0.0005329249}","{'ax': -1.228225, 'ay': -7.127539, 'wz': -0.002264931, 'az': 7.340622, 'wx': 0.0742098, 'wy': -0.02624655}","{'ax': 11714, 'ay': 12034, 'wz': 11186, 'az': 12307, 'wx': 10066, 'wy': 10594}"
242.933,"{'ax': -1.30484, 'ay': -4.944026, 'wz': -0.0003996938, 'az': 6.892907, 'wx': -0.02691271, 'wy': 0.06594947}","{'ax': -1.314417, 'ay': -4.944026, 'wz': -0.0001332312, 'az': 6.892907, 'wx': -0.02598009, 'wy': 0.06594947}","{'ax': 11778, 'ay': 12098, 'wz': 11426, 'az': 12371, 'wx': 10210, 'wy': 10962}"
242.953,"{'ax': -1.343147, 'ay': -4.908113, 'wz': -0.0001332312, 'az': 6.777985, 'wx': -0.008660031, 'wy': -0.005196018}","{'ax': -1.347936, 'ay': -4.953603, 'wz': -0.002531394, 'az': 6.801927, 'wx': -0.01185758, 'wy': -0.0001332312}","{'ax': 11650, 'ay': 11986, 'wz': 11250, 'az': 12515, 'wx': 10306, 'wy': 10802}"
242.973,"{'ax': -1.381454, 'ay': -4.915296, 'wz': -0.001199081, 'az': 7.007828, 'wx': 0.0720781, 'wy': -0.03637213}","{'ax': -1.381454, 'ay': -7.108385, 'wz': -0.0007993876, 'az': 7.005434, 'wx': 0.07634151, 'wy': -0.05129403}","{'ax': 11506, 'ay': 11858, 'wz': 11074, 'az': 12387, 'wx': 10178, 'wy': 10674}"
242.993,"{'ax': -1.237802, 'ay': -4.960786, 'wz': -0.01811945, 'az': 7.352593, 'wx': -0.001199081, 'wy': -0.01678714}","{'ax': -1.276109, 'ay': -4.922479, 'wz': -0.01798622, 'az': 7.33344, 'wx': -0.001332312, 'wy': -0.01252374}","{'ax': 11378, 'ay': 12018, 'wz': 10962, 'az': 12291, 'wx': 10002, 'wy': 10498}"
243.013,"{'ax': -1.228225, 'ay': -4.915296, 'wz': -0.001332312, 'az': 6.816292, 'wx': 0.0912634, 'wy': -0.0003996938}","{'ax': -1.39582, 'ay': -4.915296, 'wz': -0.0005329249, 'az': 6.770802, 'wx': 0.09312863, 'wy': -0.0001332312}","{'ax': 11810, 'ay': 12114, 'wz': 11170, 'az': 12387, 'wx': 10210, 'wy': 10706}"
